d1,type,d2
DB00207,0,DB00998
DB00188,0,DB00379
DB00604,0,DB01171
DB00933,0,DB08893
DB00749,0,DB00678
DB06413,0,DB01075
DB00647,0,DB00619
DB00745,0,DB14011
DB00317,0,DB00333
DB13955,0,DB00270
DB00270,0,DB01028
DB01466,0,DB01026
DB00257,0,DB01403
DB00207,0,DB11737
DB01274,0,DB01171
DB00199,0,DB04845
DB00091,0,DB00690
DB00758,0,DB01029
DB00201,0,DB00907
DB08865,0,DB00471
DB00673,0,DB09167
DB00446,0,DB13953
DB00320,0,DB06789
DB06777,0,DB00343
DB00472,0,DB01029
DB00568,0,DB01241
DB00227,0,DB04835
DB01435,0,DB04871
DB13954,0,DB00281
DB01136,0,DB00363
DB00201,0,DB04946
DB00257,0,DB00934
DB00188,0,DB00655
DB08875,0,DB00270
DB00328,0,DB01171
DB01128,0,DB01026
DB00276,0,DB09039
DB05676,0,DB00188
DB01156,0,DB00295
DB00320,0,DB06738
DB00531,0,DB09039
DB06216,0,DB06595
DB00829,0,DB00199
DB00289,0,DB01191
DB01191,0,DB04871
DB00736,0,DB08918
DB00257,0,DB04841
DB13954,0,DB01241
DB01118,0,DB05351
DB05219,0,DB00829
DB00521,0,DB09039
DB01095,0,DB04871
DB00924,0,DB04855
DB08907,0,DB00176
DB00289,0,DB01136
DB00458,0,DB00836
DB13952,0,DB00227
DB00215,0,DB01206
DB00379,0,DB00461
DB05039,0,DB00270
DB00257,0,DB05039
DB00182,0,DB01075
DB00590,0,DB00502
DB00446,0,DB13874
DB01355,0,DB01029
DB00694,0,DB06595
DB00851,0,DB00176
DB00169,0,DB00674
DB00321,0,DB00608
DB01118,0,DB00254
DB01118,0,DB04871
DB00530,0,DB00333
DB08918,0,DB00678
DB01029,0,DB00448
DB00199,0,DB13954
DB01136,0,DB01242
DB01128,0,DB01149
DB13952,0,DB01241
DB12267,0,DB01029
DB01403,0,DB08893
DB00316,0,DB01211
DB00188,0,DB00270
DB01228,0,DB01026
DB00276,0,DB00472
DB00918,0,DB00201
DB00201,0,DB12161
DB00257,0,DB01126
DB00514,0,DB00254
DB05219,0,DB08912
DB01151,0,DB00751
DB01175,0,DB01149
DB01012,0,DB00757
DB05676,0,DB00270
DB09026,0,DB01149
DB00482,0,DB00988
DB01410,0,DB01026
DB01028,0,DB06595
DB01095,0,DB00222
DB01026,0,DB00367
DB00356,0,DB01075
DB00446,0,DB00458
DB01175,0,DB00379
DB00501,0,DB01018
DB00091,0,DB09031
DB00458,0,DB00379
DB00327,0,DB01026
DB00182,0,DB00248
DB00608,0,DB00458
DB09167,0,DB01065
DB00969,0,DB00322
DB01101,0,DB00788
DB09053,0,DB08893
DB00490,0,DB06595
DB00490,0,DB00622
DB00215,0,DB01559
DB01023,0,DB00333
DB06203,0,DB01403
DB09231,0,DB08865
DB09026,0,DB00289
DB00254,0,DB01159
DB00482,0,DB00924
DB00188,0,DB00762
DB00207,0,DB01407
DB11737,0,DB00281
DB04920,0,DB01151
DB00829,0,DB00544
DB01558,0,DB09119
DB09026,0,DB00199
DB01241,0,DB01067
DB00446,0,DB01075
DB00907,0,DB01195
DB06292,0,DB04855
DB00476,0,DB00623
DB00261,0,DB00176
DB00496,0,DB00889
DB01012,0,DB01177
DB01136,0,DB00477
DB00188,0,DB13874
DB00091,0,DB00822
DB00546,0,DB00227
DB01223,0,DB00619
DB06203,0,DB00199
DB01012,0,DB00472
DB00176,0,DB05246
DB01435,0,DB00446
DB09198,0,DB08932
DB08865,0,DB00332
DB00518,0,DB01026
DB00289,0,DB00327
DB00321,0,DB01211
DB01403,0,DB06148
DB01259,0,DB00455
DB00531,0,DB00270
DB00476,0,DB04946
DB00207,0,DB01097
DB00207,0,DB00586
DB00289,0,DB05541
DB01159,0,DB06595
DB00628,0,DB00091
DB00496,0,DB01218
DB06216,0,DB00320
DB01211,0,DB08906
DB01211,0,DB01221
DB06203,0,DB01075
DB00176,0,DB00724
DB01167,0,DB00745
DB00328,0,DB00678
DB00207,0,DB00898
DB06605,0,DB01029
DB00969,0,DB00622
DB00195,0,DB01466
DB01403,0,DB00379
DB00188,0,DB04846
DB01431,0,DB01167
DB01426,0,DB00215
DB00584,0,DB01026
DB04855,0,DB06282
DB00482,0,DB04946
DB01118,0,DB00482
DB06413,0,DB00297
DB00907,0,DB01576
DB00261,0,DB09167
DB09167,0,DB04871
DB00169,0,DB00531
DB01194,0,DB00254
DB00201,0,DB01544
DB01259,0,DB00281
DB01151,0,DB01177
DB00477,0,DB00568
DB00169,0,DB01016
DB05812,0,DB00471
DB06595,0,DB08893
DB00544,0,DB00814
DB00916,0,DB06595
DB01435,0,DB08893
DB00851,0,DB00379
DB00185,0,DB01026
DB04855,0,DB01241
DB00091,0,DB06738
DB00195,0,DB01028
DB01228,0,DB00264
DB04855,0,DB00805
DB00215,0,DB01002
