d1,type,d2
DB01592,0,DB00166
DB06724,0,DB00254
DB01377,0,DB00827
DB01390,0,DB09146
DB13595,0,DB00618
DB09104,0,DB04576
DB00900,0,DB01091
DB01390,0,DB01155
DB00658,0,DB02659
DB01370,0,DB04576
DB01164,0,DB09561
DB01377,0,DB00850
DB03754,0,DB00467
DB13595,0,DB01254
DB11093,0,DB00685
DB00653,0,DB00618
DB09104,0,DB01137
DB01390,0,DB00420
DB08806,0,DB01112
DB13142,0,DB09414
DB09275,0,DB00433
DB09146,0,DB09414
DB09281,0,DB01208
DB06724,0,DB01072
DB08938,0,DB00420
DB13231,0,DB00779
DB03754,0,DB00779
DB00258,0,DB00827
DB13595,0,DB00680
DB08938,0,DB00933
DB13142,0,DB04576
DB00364,0,DB00196
DB09275,0,DB01592
DB09281,0,DB09093
DB01370,0,DB00477
DB01370,0,DB09147
DB00900,0,DB01263
DB00258,0,DB00779
DB06724,0,DB00850
DB06723,0,DB00254
DB01390,0,DB06824
DB11126,0,DB01044
DB09104,0,DB09093
DB00326,0,DB01155
DB03754,0,DB00618
DB00338,0,DB01592
DB01370,0,DB01024
DB11093,0,DB01044
DB00658,0,DB01208
DB13231,0,DB09561
DB06723,0,DB01622
DB00258,0,DB01196
DB00900,0,DB01243
DB13595,0,DB01592
DB09275,0,DB00477
DB00326,0,DB00685
DB11126,0,DB01137
DB01377,0,DB00433
DB01069,0,DB01112
DB00364,0,DB01026
DB01370,0,DB00779
DB03754,0,DB01615
DB11093,0,DB09449
DB06724,0,DB01614
DB00258,0,DB00166
DB09104,0,DB00487
DB08938,0,DB00433
DB09275,0,DB00679
DB00326,0,DB09414
DB09275,0,DB04576
DB08938,0,DB00254
DB00364,0,DB01007
DB01164,0,DB00487
DB01164,0,DB01137
DB00501,0,DB09147
DB00900,0,DB00091
DB03754,0,DB01017
DB11093,0,DB01137
DB01017,0,DB01592
DB01377,0,DB00420
DB00658,0,DB00779
DB06724,0,DB09449
DB13142,0,DB00827
DB09281,0,DB00685
DB13595,0,DB01155
DB00334,0,DB01416
DB00364,0,DB00362
DB00658,0,DB01059
DB00658,0,DB00817
DB06724,0,DB01069
DB01377,0,DB00508
DB06723,0,DB09561
DB01377,0,DB00831
DB11093,0,DB09414
DB06723,0,DB00827
DB06724,0,DB09414
DB03754,0,DB00933
DB11126,0,DB00685
DB06723,0,DB09241
DB13142,0,DB01059
DB13595,0,DB01044
DB08938,0,DB09449
DB01377,0,DB01592
DB11348,0,DB00467
DB00364,0,DB02659
DB00900,0,DB01188
DB00326,0,DB09449
DB08938,0,DB06824
DB00618,0,DB09147
DB01370,0,DB01403
DB09104,0,DB00467
DB01370,0,DB00420
DB09275,0,DB01024
DB00940,0,DB01254
DB00900,0,DB00251
DB09104,0,DB00433
DB01370,0,DB01254
DB01017,0,DB09147
DB09275,0,DB01069
DB06724,0,DB01622
DB00940,0,DB06589
DB00364,0,DB01422
DB09104,0,DB00817
DB01377,0,DB01072
DB01142,0,DB01416
DB06724,0,DB01044
DB09104,0,DB00685
DB09275,0,DB01059
DB06724,0,DB00618
DB06724,0,DB00831
DB01377,0,DB00477
DB13231,0,DB01044
DB08938,0,DB01622
DB08938,0,DB01072
