d1,type,d2
DB00169,0,DB01576
DB01101,0,DB01050
DB00458,0,DB01071
DB00176,0,DB01241
DB00608,0,DB01029
DB01118,0,DB01167
DB06282,0,DB00227
DB00608,0,DB00270
DB00343,0,DB06148
DB01136,0,DB00379
DB00321,0,DB01211
DB00195,0,DB00836
DB00343,0,DB00499
DB00865,0,DB00199
DB00477,0,DB00531
DB08918,0,DB00379
DB00257,0,DB05039
DB00477,0,DB06148
DB00748,0,DB01026
DB00921,0,DB01167
DB01101,0,DB00327
DB00322,0,DB00731
DB01118,0,DB00584
DB00590,0,DB00951
DB01435,0,DB08893
DB00543,0,DB06595
DB05541,0,DB00951
DB09061,0,DB00227
DB00477,0,DB00227
DB00327,0,DB00264
DB00215,0,DB04841
DB00672,0,DB00227
DB00458,0,DB00836
DB01026,0,DB05246
DB01167,0,DB00602
DB00195,0,DB09555
DB00257,0,DB00180
DB00257,0,DB00370
DB00320,0,DB09078
DB00672,0,DB00951
DB00283,0,DB01071
DB06738,0,DB00745
DB00568,0,DB04855
DB00674,0,DB00619
DB06605,0,DB00951
DB00240,0,DB00619
DB01426,0,DB00907
DB00276,0,DB00458
DB01142,0,DB01095
DB05541,0,DB00176
DB00544,0,DB00333
DB11817,0,DB00199
DB13954,0,DB00544
DB00501,0,DB00736
DB01211,0,DB08906
DB01197,0,DB00215
DB00245,0,DB00907
DB00482,0,DB08865
DB09167,0,DB08868
DB01242,0,DB06595
DB06736,0,DB00678
DB00169,0,DB00983
DB00207,0,DB00262
DB00363,0,DB01167
DB00289,0,DB09166
DB01156,0,DB00619
DB00195,0,DB00531
DB00188,0,DB04846
DB00835,0,DB09119
DB06772,0,DB00199
DB00758,0,DB00544
DB09555,0,DB00472
DB00544,0,DB01009
DB00951,0,DB00379
DB00343,0,DB04574
DB00297,0,DB00951
DB01151,0,DB09198
DB00446,0,DB13953
DB00921,0,DB08893
DB00283,0,DB06292
DB01576,0,DB00176
DB01050,0,DB01171
DB00176,0,DB00281
DB00199,0,DB00294
DB00612,0,DB00619
DB00395,0,DB00622
DB05351,0,DB00622
DB01426,0,DB00289
DB00477,0,DB09555
DB01242,0,DB00270
DB00477,0,DB00924
DB11737,0,DB00619
DB00199,0,DB09166
DB09167,0,DB01120
DB08865,0,DB00343
DB00289,0,DB01002
DB00773,0,DB09198
DB00201,0,DB00499
DB01426,0,DB08893
DB00248,0,DB00805
DB04855,0,DB01183
DB00586,0,DB00176
DB01197,0,DB01403
DB13874,0,DB00333
DB00543,0,DB00289
DB01156,0,DB09167
DB00227,0,DB01183
DB06292,0,DB00343
DB00997,0,DB00762
DB00169,0,DB01211
DB01218,0,DB08893
DB00257,0,DB01065
DB00907,0,DB04871
DB00477,0,DB00257
DB06777,0,DB00257
DB00176,0,DB00598
DB08918,0,DB00333
DB00257,0,DB01577
DB00169,0,DB00328
DB08865,0,DB01159
DB00748,0,DB08865
DB11737,0,DB01026
DB00918,0,DB00169
DB00544,0,DB00731
DB13953,0,DB00619
DB00356,0,DB01026
DB00637,0,DB00169
DB00320,0,DB00690
DB00289,0,DB01194
DB00496,0,DB00327
DB00490,0,DB00283
DB00320,0,DB00688
DB04846,0,DB00257
DB09167,0,DB01159
DB00988,0,DB09198
DB04920,0,DB01242
DB00496,0,DB00622
DB06016,0,DB00363
DB00608,0,DB00370
DB09198,0,DB00264
DB00262,0,DB09167
DB00395,0,DB00176
DB00188,0,DB00496
DB00865,0,DB00758
DB00501,0,DB00586
DB00283,0,DB01559
DB00343,0,DB13074
DB05219,0,DB13954
DB00343,0,DB00977
DB00289,0,DB00367
DB00969,0,DB01241
DB00869,0,DB01095
DB00969,0,DB01095
DB05351,0,DB01171
DB09167,0,DB00461
DB00472,0,DB00455
DB00998,0,DB06595
DB00619,0,DB00603
DB09223,0,DB00227
DB00316,0,DB01075
DB00501,0,DB13956
DB00321,0,DB00622
DB00568,0,DB00458
DB09039,0,DB01028
DB00921,0,DB00496
DB00969,0,DB00619
DB01156,0,DB00836
DB00972,0,DB01097
DB01156,0,DB00227
DB00318,0,DB08865
DB00201,0,DB09167
DB00972,0,DB00476
DB00188,0,DB00736
DB01191,0,DB00176
DB00195,0,DB00185
DB00317,0,DB00619
DB00472,0,DB01016
DB01219,0,DB04855
DB01012,0,DB01028
DB00257,0,DB08865
DB01118,0,DB08906
DB00320,0,DB00332
DB00176,0,DB00629
DB00254,0,DB01221
DB01114,0,DB00501
DB00254,0,DB00602
DB01211,0,DB00176
DB00176,0,DB00788
DB00289,0,DB00476
DB00678,0,DB01065
DB09078,0,DB00227
DB00169,0,DB01071
DB09167,0,DB00317
DB00531,0,DB00622
DB01223,0,DB00227
DB00972,0,DB04871
DB00283,0,DB01254
DB00276,0,DB06595
DB00608,0,DB06148
DB00969,0,DB00215
DB01156,0,DB00477
DB01136,0,DB01403
DB01029,0,DB00281
DB00215,0,DB01095
DB00673,0,DB09119
DB00316,0,DB00264
DB00195,0,DB01191
DB09061,0,DB00622
DB01628,0,DB00322
DB00482,0,DB00455
DB08875,0,DB01095
DB01211,0,DB06700
DB00604,0,DB00176
DB00201,0,DB11737
DB00501,0,DB01206
DB00647,0,DB00270
DB06772,0,DB00283
DB00586,0,DB00379
DB01175,0,DB00951
DB00297,0,DB01151
DB01274,0,DB00907
DB00476,0,DB01466
DB01244,0,DB00502
DB00188,0,DB01241
DB01544,0,DB01097
DB01248,0,DB01149
DB05219,0,DB00619
DB01128,0,DB01211
DB00240,0,DB01167
DB00270,0,DB00295
DB00476,0,DB06148
DB00257,0,DB00343
DB00472,0,DB00849
DB00185,0,DB00254
DB01118,0,DB00295
DB01355,0,DB00227
DB01410,0,DB00257
DB08875,0,DB00176
DB00320,0,DB13953
DB00496,0,DB01028
DB13874,0,DB00544
DB00289,0,DB01075
DB00502,0,DB00731
DB08865,0,DB01241
DB06777,0,DB00343
DB12161,0,DB01167
DB00446,0,DB01242
DB01118,0,DB00628
DB00289,0,DB11737
DB00283,0,DB00602
DB00169,0,DB00956
DB00496,0,DB13874
DB00283,0,DB00091
DB00289,0,DB00584
DB01242,0,DB12161
DB00343,0,DB01039
DB00289,0,DB00636
DB00176,0,DB00332
DB00180,0,DB01149
DB00215,0,DB01149
DB00518,0,DB00343
DB01118,0,DB01380
DB00543,0,DB00477
DB00482,0,DB00531
DB00185,0,DB00264
DB00215,0,DB00836
DB04846,0,DB00619
DB00757,0,DB00254
DB04855,0,DB13953
DB01211,0,DB00281
DB00227,0,DB01171
