d1,type,d2
DB12001,1,DB01118
DB12001,3,DB11901
DB12001,2,DB00673
DB12001,0,DB00289
DB12001,0,DB00188
DB12001,3,DB00559
DB12001,2,DB06616
DB12001,3,DB00564
DB12001,1,DB09063
DB12001,1,DB01211
DB12001,0,DB00283
DB12001,0,DB00257
DB12001,2,DB01394
DB12001,2,DB00872
DB12001,0,DB08865
DB12001,0,DB00091
DB12001,12,DB06695
DB12001,3,DB08912
DB12001,2,DB01254
DB12001,0,DB00320
DB12001,0,DB00343
DB12001,2,DB00997
DB12001,0,DB00254
DB12001,0,DB04855
DB12001,2,DB06210
DB12001,3,DB08899
DB12001,0,DB00199
DB12001,2,DB01590
DB12001,0,DB00176
DB12001,3,DB01320
DB12001,0,DB00619
DB12001,2,DB11633
DB12001,0,DB00270
DB12001,1,DB01167
DB12001,2,DB08820
DB12001,2,DB01026
DB12001,2,DB09195
DB12001,0,DB00227
DB12001,3,DB09280
DB12001,3,DB06595
DB12001,2,DB00834
DB12001,3,DB00648
DB12001,2,DB09049
DB12001,1,DB01149
DB12001,2,DB09048
DB05812,0,DB06736
DB05812,2,DB01418
DB05812,2,DB00316
DB05812,2,DB03128
DB05812,2,DB00945
DB05812,0,DB00546
DB05812,2,DB06594
DB05812,2,DB01426
DB05812,2,DB00518
DB05812,2,DB00918
DB05812,2,DB06203
DB05812,2,DB00969
DB05812,2,DB00866
DB05812,0,DB06403
DB05812,2,DB01223
DB05812,2,DB01118
DB05812,2,DB00321
DB05812,2,DB00613
DB05812,2,DB00543
DB05812,2,DB00182
DB05812,2,DB00276
DB05812,2,DB00261
DB05812,2,DB01435
DB05812,3,DB11901
DB05812,2,DB06605
DB05812,2,DB00673
DB05812,2,DB01429
DB05812,2,DB01274
DB05812,2,DB01238
DB05812,2,DB06216
DB05812,2,DB00637
DB05812,2,DB00289
DB05812,2,DB01076
DB05812,2,DB06626
DB05812,2,DB00972
DB05812,2,DB00245
DB05812,2,DB01244
DB05812,2,DB00195
DB05812,0,DB00307
DB05812,2,DB00612
DB05812,2,DB00188
DB05812,2,DB00559
DB05812,2,DB09128
DB05812,2,DB12267
DB05812,0,DB05541
DB05812,2,DB01558
DB05812,2,DB00835
DB05812,2,DB00297
